Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.80,1.80,1.80,1.80,000,1.80
2013-05-22,1.80,1.80,1.80,1.80,000,1.80
2013-05-21,1.80,1.80,1.80,1.80,000,1.80
2013-05-20,1.80,1.80,1.80,1.80,000,1.80
2013-05-17,1.80,1.80,1.80,1.80,000,1.80
2013-05-16,1.80,1.80,1.80,1.80,000,1.80
2013-05-15,1.80,1.80,1.80,1.80,000,1.80
2013-05-14,1.80,1.80,1.80,1.80,000,1.80
2013-05-13,1.80,1.80,1.80,1.80,000,1.80
2013-05-10,1.80,1.80,1.80,1.80,000,1.80
2013-05-09,1.80,1.80,1.80,1.80,000,1.80
2013-05-08,1.80,1.80,1.80,1.80,000,1.80
2013-05-07,1.80,1.80,1.80,1.80,000,1.80
2013-05-06,1.80,1.80,1.80,1.80,000,1.80
2013-05-03,1.80,1.80,1.80,1.80,000,1.80
2013-05-02,1.80,1.80,1.80,1.80,000,1.80
2013-05-01,1.80,1.80,1.80,1.80,000,1.80
2013-04-30,1.80,1.80,1.80,1.80,000,1.80
2013-04-29,1.80,1.80,1.80,1.80,000,1.80
2013-04-26,1.80,1.80,1.80,1.80,000,1.80
2013-04-25,1.80,1.80,1.80,1.80,000,1.80
2013-04-24,1.80,1.80,1.80,1.80,000,1.80
2013-04-23,1.80,1.80,1.80,1.80,000,1.80
2013-04-22,1.80,1.80,1.80,1.80,000,1.80
2013-04-19,1.80,1.80,1.80,1.80,000,1.80
2013-04-18,1.80,1.80,1.80,1.80,000,1.80
2013-04-17,1.80,1.80,1.80,1.80,000,1.80
2013-04-16,1.80,1.80,1.80,1.80,000,1.80
2013-04-15,1.80,1.80,1.80,1.80,000,1.80
2013-04-12,1.80,1.80,1.80,1.80,000,1.80
2013-04-11,1.80,1.80,1.80,1.80,000,1.80
2013-04-10,1.80,1.80,1.80,1.80,000,1.80
2013-04-09,1.80,1.80,1.80,1.80,000,1.80
2013-04-08,1.80,1.80,1.80,1.80,000,1.80
2013-04-05,1.80,1.80,1.80,1.80,000,1.80
2013-04-04,1.80,1.80,1.80,1.80,000,1.80
2013-04-03,1.80,1.80,1.80,1.80,000,1.80
2013-04-02,1.80,1.80,1.80,1.80,000,1.80
2013-04-01,1.80,1.80,1.80,1.80,000,1.80
2013-03-29,1.80,1.80,1.80,1.80,000,1.80
2013-03-28,1.80,1.80,1.80,1.80,000,1.80
2013-03-27,1.80,1.80,1.80,1.80,000,1.80
2013-03-26,1.80,1.80,1.80,1.80,000,1.80
2013-03-25,1.80,1.80,1.80,1.80,000,1.80
2013-03-22,1.80,1.80,1.80,1.80,000,1.80
2013-03-21,1.80,1.80,1.80,1.80,000,1.80
2013-03-20,1.80,1.80,1.80,1.80,000,1.80
2013-03-19,1.80,1.80,1.80,1.80,000,1.80
2013-03-18,1.80,1.80,1.80,1.80,000,1.80
2013-03-15,1.80,1.80,1.80,1.80,000,1.80
2013-03-14,1.80,1.80,1.80,1.80,000,1.80
2013-03-13,1.80,1.80,1.80,1.80,000,1.80
2013-03-12,1.80,1.80,1.80,1.80,000,1.80
2013-03-11,1.80,1.80,1.80,1.80,000,1.80
2013-03-08,1.80,1.80,1.80,1.80,000,1.80
2013-03-07,1.80,1.80,1.80,1.80,000,1.80
2013-03-06,1.80,1.80,1.80,1.80,000,1.80
2013-03-05,1.80,1.80,1.80,1.80,000,1.80
2013-03-04,1.80,1.80,1.80,1.80,000,1.80
2013-03-01,1.80,1.80,1.80,1.80,000,1.80
2013-02-28,1.80,1.80,1.80,1.80,000,1.80
2013-02-27,1.80,1.80,1.80,1.80,000,1.80
2013-02-26,1.80,1.80,1.80,1.80,000,1.80
2013-02-25,1.80,1.80,1.80,1.80,000,1.80
